agent1_id,agent2_id,trust_level,relationship_type
1,2,0.9500000000000001,alliance
3,4,0.9500000000000001,alliance
2,5,0.15,neutral
1,4,0.3,neutral
2,3,-0.75,enemy
2,4,0.3,neutral
3,5,-0.25,neutral
3,6,-0.05,neutral
7,8,-0.5,enemy
4,5,0.15,neutral
4,6,0.15,neutral
1,3,-0.5,enemy
4,7,0.15,neutral
1,6,-0.25,neutral
